Temp,Hum,Wind,Presure,Solar,ET,radiacion mayor a 500 evento simple,Evento compuesto radiacion solar>500 y evotranspiracion>.2,evento interseccion radiacion solar>500 ET>.2 
"22,7","87,7","0,53","1011,5","144,83","0,1",0,0,
"23,5","84,5","1,33",1012,"155,00","0,1",0,0,
"25,7","76,2","1,33","1012,1","459,50","0,33",0,0,
"28,4","65,3","1,6","1011,8","618,17","0,46",1,1,
"29,1","64,7","2,13","1011,2","525,83","0,41",1,1,
"29,3","63,7","5,07",1010,"822,00","0,66",1,1,
"28,2","65,2","4,53","1009,5","482,83","0,38",0,0,
"23,2","85,2","3,73","1009,5","165,17","0,13",0,0,
"23,7","86,5","3,47","1008,9","241,83","0,18",0,0,
"23,2","85,5","4,27","1009,4","105,83","0,08",0,0,
"22,9",85,"2,93","1010,2","53,17","0,03",0,0,
"22,4","86,7","2,13","1011,3","0,50",0,0,0,
"21,5","92,7",0,"1011,9","0,00",0,0,0,
"21,2","93,8",0,"1012,7","0,00",0,0,0,
"21,1","94,7","0,53","1013,1","0,00",0,0,0,
"21,1","95,8",0,"1013,2","0,00",0,0,0,
"21,1",96,0,1013,"0,00",0,0,0,
"21,1","95,7",0,"1012,5","0,00",0,0,0,
"21,1","95,2",0,"1012,2","0,00",0,0,0,
21,"95,2",0,"1011,7","0,00",0,0,0,
"20,9",96,0,"1011,4","0,00",0,0,0,
"20,9",96,0,"1011,5","0,00",0,0,0,
"20,8","96,3","0,53","1011,9","0,00",0,0,0,
"20,7",97,"0,53","1012,2","20,17",0,0,0,
21,"96,2","0,8","1012,9","75,50","0,05",0,0,
"21,3","94,7","1,6","1013,6","101,00","0,05",0,0,
"22,2","93,2","0,8","1013,7","241,00","0,15",0,0,
"23,7",87,"0,8","1013,7","316,00","0,2",0,0,
"23,6","87,7","0,53","1013,3","186,83","0,13",0,0,
"24,1","85,7","2,13","1012,4","431,00","0,3",0,0,
"25,6","76,3",4,"1011,4","573,33","0,43",1,1,
"24,6","79,5","3,47","1010,6","323,33","0,23",0,0,
"24,8","78,3","4,27","1010,3","361,17","0,25",0,0,
"23,3","85,2","1,33","1010,4","82,33","0,05",0,0,
22,"90,3","0,27","1010,9","33,17",0,0,0,
"21,2","91,5","0,53","1011,2","1,33",0,0,0,
"20,8","92,8",0,"1011,7","0,00",0,0,0,
"20,5",94,0,"1011,9","0,00",0,0,0,
