Date,Streamflow,p_ens,Streamflow_norm,p_ens_norm
1980-12-21,4886.04,22.66,0.3595550002424732,0.23265603663357187
1980-12-22,4878.32,3.348,0.35898689916227905,0.03437477540375987
1980-12-23,4901.48,2.211,0.3606912024028615,0.022700904545314534
1980-12-24,4893.76,5.632,0.3601231013226674,0.05782518968756737
1980-12-25,4886.04,8.314,0.3595550002424732,0.08536197213466533
1980-12-26,4886.04,7.26,0.3595550002424732,0.07454028358162981
1980-12-27,4855.16,7.793,0.35728259592169653,0.08001273139829769
1980-12-28,4824.28,7.064,0.3550101916009199,0.07252790127005965
1980-12-29,4801.12,8.746,0.3533058883603374,0.08979742702547307
1980-12-30,4770.24,5.007,0.35103348403956075,0.05140815425526453
1980-12-31,4739.36,3.811,0.34876107971878406,0.03912851525200981
1981-01-01,4662.16,6.233,0.34308006891684245,0.06399581095926979
